NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
default       9m54s       Normal    Starting                         node/worker-2                                  Starting kubelet.
default       9m54s       Normal    CertificateExpirationOK          node/worker-2                                  Node and Certificate Authority certificates managed by k3s are OK
default       9m53s       Normal    NodeHasSufficientMemory          node/worker-2                                  Node worker-2 status is now: NodeHasSufficientMemory
default       9m53s       Normal    Synced                           node/worker-2                                  Node synced successfully
default       9m53s       Normal    NodeAllocatableEnforced          node/worker-2                                  Updated Node Allocatable limit across pods
default       9m53s       Normal    CIDRAssignmentFailed             node/worker-2                                  Node worker-2 status is now: CIDRAssignmentFailed
default       9m53s       Normal    NodeHasSufficientPID             node/worker-2                                  Node worker-2 status is now: NodeHasSufficientPID
default       9m53s       Normal    NodeHasNoDiskPressure            node/worker-2                                  Node worker-2 status is now: NodeHasNoDiskPressure
kube-system   9m53s       Normal    SuccessfulCreate                 daemonset/svclb-traefik-30b6aef5               Created pod: svclb-traefik-30b6aef5-8lr26
default       9m52s       Normal    RegisteredNode                   node/worker-2                                  Node worker-2 event: Registered Node worker-2 in Controller
kube-system   9m49s       Normal    Pulling                          pod/svclb-traefik-30b6aef5-8lr26               Pulling image "rancher/klipper-lb:v0.4.13"
kube-system   9m48s       Normal    Created                          pod/svclb-traefik-30b6aef5-8lr26               Created container: lb-tcp-443
kube-system   9m48s       Normal    Pulled                           pod/svclb-traefik-30b6aef5-8lr26               Successfully pulled image "rancher/klipper-lb:v0.4.13" in 1.274s (1.274s including waiting). Image size: 12720139 bytes.
kube-system   9m48s       Normal    Started                          pod/svclb-traefik-30b6aef5-8lr26               Started container lb-tcp-443
kube-system   9m48s       Normal    Started                          pod/svclb-traefik-30b6aef5-8lr26               Started container lb-tcp-80
kube-system   9m48s       Normal    Created                          pod/svclb-traefik-30b6aef5-8lr26               Created container: lb-tcp-80
kube-system   9m48s       Normal    Pulled                           pod/svclb-traefik-30b6aef5-8lr26               Container image "rancher/klipper-lb:v0.4.13" already present on machine
kube-system   9m47s       Normal    UpdatedLoadBalancer              service/traefik                                Updated LoadBalancer with new IPs: [10.180.0.5] -> [10.180.0.4 10.180.0.5]
default       9m28s       Normal    NodeHasNoDiskPressure            node/worker-1                                  Node worker-1 status is now: NodeHasNoDiskPressure
default       9m28s       Normal    CertificateExpirationOK          node/worker-1                                  Node and Certificate Authority certificates managed by k3s are OK
default       9m28s       Normal    Starting                         node/worker-1                                  Starting kubelet.
default       9m28s       Normal    NodeHasSufficientMemory          node/worker-1                                  Node worker-1 status is now: NodeHasSufficientMemory
default       9m28s       Normal    NodeAllocatableEnforced          node/worker-1                                  Updated Node Allocatable limit across pods
default       9m28s       Normal    NodeHasSufficientPID             node/worker-1                                  Node worker-1 status is now: NodeHasSufficientPID
default       9m27s       Normal    Synced                           node/worker-1                                  Node synced successfully
kube-system   9m27s       Normal    SuccessfulCreate                 daemonset/svclb-traefik-30b6aef5               Created pod: svclb-traefik-30b6aef5-x29d2
default       9m27s       Normal    RegisteredNode                   node/worker-1                                  Node worker-1 event: Registered Node worker-1 in Controller
kube-system   9m23s       Normal    Pulling                          pod/svclb-traefik-30b6aef5-x29d2               Pulling image "rancher/klipper-lb:v0.4.13"
kube-system   9m22s       Normal    Started                          pod/svclb-traefik-30b6aef5-x29d2               Started container lb-tcp-80
kube-system   9m22s       Normal    Started                          pod/svclb-traefik-30b6aef5-x29d2               Started container lb-tcp-443
kube-system   9m22s       Normal    Pulled                           pod/svclb-traefik-30b6aef5-x29d2               Container image "rancher/klipper-lb:v0.4.13" already present on machine
kube-system   9m22s       Normal    Created                          pod/svclb-traefik-30b6aef5-x29d2               Created container: lb-tcp-80
kube-system   9m22s       Normal    Pulled                           pod/svclb-traefik-30b6aef5-x29d2               Successfully pulled image "rancher/klipper-lb:v0.4.13" in 1.216s (1.216s including waiting). Image size: 12720139 bytes.
kube-system   9m22s       Normal    Created                          pod/svclb-traefik-30b6aef5-x29d2               Created container: lb-tcp-443
kube-system   9m21s       Normal    UpdatedLoadBalancer              service/traefik                                Updated LoadBalancer with new IPs: [10.180.0.4 10.180.0.5] -> [10.180.0.4 10.180.0.5 10.180.0.6]
default       7m43s       Warning   ContainerGCFailed                node/cp-0                                      rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/crio/crio.sock: connect: no such file or directory"
default       6m28s       Warning   ContainerGCFailed                node/worker-1                                  rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/crio/crio.sock: connect: no such file or directory"
default       6m13s       Normal    NodeNotReady                     node/worker-1                                  Node worker-1 status is now: NodeNotReady
default       6m3s        Normal    NodeReady                        node/worker-1                                  Node worker-1 status is now: NodeReady
default       4m54s       Warning   ImageGCFailed                    node/worker-2                                  rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/crio/crio.sock: connect: no such file or directory"
default       4m54s       Warning   ContainerGCFailed                node/worker-2                                  rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/crio/crio.sock: connect: no such file or directory"
default       4m44s       Normal    NodeNotReady                     node/worker-2                                  Node worker-2 status is now: NodeNotReady
default       4m34s       Normal    NodeReady                        node/worker-2                                  Node worker-2 status is now: NodeReady
default       4m20s       Normal    Pulling                          pod/kata-verify-1782369921                     Pulling image "alpine:3.22"
default       4m19s       Normal    Started                          pod/kata-verify-1782369921                     Started container probe
default       4m19s       Normal    Created                          pod/kata-verify-1782369921                     Created container: probe
default       4m19s       Normal    Pulled                           pod/kata-verify-1782369921                     Successfully pulled image "alpine:3.22" in 989ms (989ms including waiting). Image size: 8587361 bytes.
default       102s        Normal    Pulling                          pod/kata-verify-1782370081                     Pulling image "alpine:3.22"
default       101s        Normal    Pulled                           pod/kata-verify-1782370081                     Successfully pulled image "alpine:3.22" in 956ms (956ms including waiting). Image size: 8587361 bytes.
default       101s        Normal    Created                          pod/kata-verify-1782370081                     Created container: probe
default       101s        Normal    Started                          pod/kata-verify-1782370081                     Started container probe
default       5s          Normal    Pulled                           pod/kata-evidence-1782370178                   Container image "alpine:3.22" already present on machine
default       4s          Normal    Started                          pod/kata-evidence-1782370178                   Started container probe
default       4s          Normal    Created                          pod/kata-evidence-1782370178                   Created container: probe
